start_time_event;start_time_censor;end_time_event;end_time_censor;n_events;n_censors
0,0001;1,625;3,2499;10000;2;0
3,25;4,875;6,5;10000;2;0
6,5;8,125;9,75;10000;1;0
9,75;11,375;13;10000;4;0
13;14,625;16,25;10000;2;1
16,25;17,875;19,5;10000;1;1
19,5;21,125;22,75;10000;1;1
22,75;24,375;26;10000;1;1
26;27,625;29,25;10000;0;1
29,25;30,875;32,5;10000;0;1
32,5;34,125;35,75;10000;1;1
35,75;37,375;39;10000;1;1
39;40,625;42,25;10000;0;1
42,25;43,875;45,5;10000;0;1
45,5;47,125;48,75;10000;0;1
48,75;50,375;52;10000;0;1
0,0001;56;111,9999;10000;0;1
