start_time_event;start_time_censor;end_time_event;end_time_censor;n_events;n_censors
0,0001;0;-0,0001;10000;1;0
0,0001;0,5;0,9999;10000;0;0
1;1,5;2;10000;1;0
2;2,5;3;10000;0;0
3;3,5;4;10000;2;0
4;4,5;5;10000;0;0
5;5,5;6;10000;1;0
6;6,5;7;10000;0;0
7;7,5;8;10000;0;0
8;8,5;9;10000;1;0
9;9,5;10;10000;0;0
10;10,5;11;10000;1;0
11;11,5;12;10000;0;0
12;12,5;13;10000;0;0
13;13,5;14;10000;0;0
14;14,5;15;10000;0;0
15;15,5;16;10000;0;0
16;16,5;17;10000;0;0
17;17,5;18;10000;0;0
18;18,5;19;10000;0;0
19;19,5;20;10000;1;0
20;20,5;21;10000;0;0
21;21,5;22;10000;0;0
22;22,5;23;10000;0;0
23;23,5;24;10000;0;0
24;24,5;25;10000;1;0
25;25,5;26;10000;0;0
26;26,5;27;10000;0;0
27;27,5;28;10000;0;0
28;28,5;29;10000;2;0
29;29,5;30;10000;0;0
30;30,5;31;10000;0;0
31;31,5;32;10000;0;0
32;32,5;33;10000;0;0
33;33,5;34;10000;0;0
34;34,5;35;10000;0;0
35;35,5;36;10000;0;0
36;36,5;37;10000;2;0
37;37,5;38;10000;2;0
38;38,5;39;10000;0;0
39;39,5;40;10000;0;0
40;40,5;41;10000;0;0
41;41,5;42;10000;0;0
42;42,5;43;10000;2;0
43;43,5;44;10000;0;1
44;44,5;45;10000;0;1
45;45,5;46;10000;0;1
46;46,5;47;10000;0;1
47;47,5;48;10000;0;0
48;48,5;49;10000;0;0
49;49,5;50;10000;0;0
50;50,5;51;10000;0;0
51;51,5;52;10000;2;0
52;52,5;53;10000;0;0
53;53,5;54;10000;0;0
54;54,5;55;10000;1;0
55;55,5;56;10000;0;0
56;56,5;57;10000;0;0
57;57,5;58;10000;0;0
58;58,5;59;10000;0;0
59;59,5;60;10000;0;0
60;60,5;61;10000;0;0
61;61,5;62;10000;0;0
62;62,5;63;10000;0;0
63;63,5;64;10000;0;0
64;64,5;65;10000;0;0
65;65,5;66;10000;0;0
66;66,5;67;10000;0;0
67;67,5;68;10000;0;0
68;68,5;69;10000;0;0
69;69,5;70;10000;0;0
70;70,5;71;10000;0;0
71;71,5;72;10000;0;0
72;72,5;73;10000;0;0
73;73,5;74;10000;0;0
74;74,5;75;10000;0;6
