Leeftijd;Survival
0;99,69
1;99,96
2;99,98
3;99,99
4;99,99
5;99,99
6;99,99
7;99,99
8;100
9;99,99
10;100
11;99,99
12;99,99
13;99,99
14;99,99
15;99,99
16;99,98
17;99,98
18;99,98
19;99,98
20;99,97
21;99,98
22;99,97
23;99,98
24;99,97
25;99,97
26;99,97
27;99,97
28;99,96
29;99,96
30;99,96
31;99,95
32;99,95
33;99,96
34;99,96
35;99,95
36;99,95
37;99,94
38;99,94
39;99,93
40;99,93
41;99,92
42;99,9
43;99,91
44;99,89
45;99,88
46;99,87
47;99,85
48;99,83
49;99,83
50;99,82
51;99,78
52;99,74
53;99,75
54;99,69
55;99,65
56;99,64
57;99,56
58;99,53
59;99,49
60;99,41
61;99,37
62;99,3
63;99,22
64;99,17
65;99,06
66;98,98
67;98,91
68;98,83
69;98,73
70;98,55
71;98,44
72;98,22
73;98
74;97,79
75;97,63
76;97,33
77;97,02
78;96,71
79;96,33
80;95,78
81;95,4
82;94,53
83;93,82
84;93,13
85;92,09
86;90,69
87;89,55
88;88,18
89;86,37
90;85,02
91;83,12
92;81,12
93;78,95
94;76,74
95;74,14
96;72,24
97;69,33
98;68,08
