ZorgproductOmschrijving;Tarief
Ziekenhuisopname met maximaal 5 verpleegdagen bij een seksueel overdraagbare aandoening (SOA);1645,57
Lasertherapie bij een seksueel overdraagbare aandoening (SOA);255,24
Kleine operatie bij een seksueel overdraagbare aandoening (SOA);473,63
Operatie bij een seksueel overdraagbare aandoening (SOA);606,47
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of dagbehandeling bij een seksueel overdraagbare aandoening (SOA);386,25
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een seksueel overdraagbare aandoening (SOA);153,74
Ziekenhuisopname met meer dan 5 verpleegdagen bij een seksueel overdraagbare aandoening (SOA);4526,85
Ziekenhuisopname met maximaal 5 verpleegdagen bij een virusinfectie van de huid of slijmvliezen;2234,28
Lasertherapie bij een virusinfectie van de huid of slijmvliezen;319,87
Operatie beperkt bij een virusinfectie van de huid of slijmvliezen;377,6
Operatie bij een virusinfectie van de huid of slijmvliezen;814,97
Behandeling of onderzoek en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of dagbehandeling bij een virusinfectie van de huid of slijmvliezen;338,33
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een virusinfectie van de huid of slijmvliezen;121,54
Ziekenhuisopname met meer dan 5 verpleegdagen bij een virusinfectie van de huid of slijmvliezen;10223,59
Meer dan 1 dagbehandeling bij een infectie met het humaan immunodefici?ntievirus (HIV);3625,08
Ziekenhuisopname met maximaal 5 verpleegdagen bij een infectie met het humaan immunodefici?ntievirus (HIV);5020,12
Onderzoek(en) en/of behandeling(en) bij een infectie met het humaan immunodefici?ntievirus (HIV);1989,9
Ziekenhuisopname met meer dan 28 verpleegdagen bij een infectie met het humaan immunodefici?ntievirus (HIV);36582,6
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een infectie met het humaan immunodefici?ntievirus (HIV);11749,22
1 dagbehandeling of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij een infectie met het humaan immunodefici?ntievirus (HIV);2513,95
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij een infectie met het humaan immunodefici?ntievirus (HIV);2123,08
Kopi‰ren DNA bij een infectie met het humaan immunodefici‰ntievirus (HIV);840,16
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een infectie met het humaan immunodefici?ntievirus (HIV);314,7
Zeer ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij een infectie van de wervelkolom;12737,64
Zeer ingewikkelde en langdurige operatie aan de wervelkolom bij een infectie van de wervelkolom;8953,3
Ingewikkelde en langdurige operatie aan de wervelkolom tijdens een ziekenhuisopname bij een infectie van de wervelkolom;20692,37
Ingewikkelde en langdurige operatie aan de wervelkolom bij een infectie van de wervelkolom;8942,71
Ingewikkelde operatie aan de wervelkolom tijdens een ziekenhuisopname bij een infectie van de wervelkolom;14689,34
Ingewikkelde operatie aan de wervelkolom bij een infectie van de wervelkolom;5698,46
Operatie aan de wervelkolom tijdens een ziekenhuisopname bij een infectie van de wervelkolom;4981,78
Operatie aan de wervelkolom bij een infectie van de wervelkolom;4059,29
Ziekenhuisopname met maximaal 5 verpleegdagen bij tuberculose;3157,31
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij tuberculose;7619,71
Ziekenhuisopname met meer dan 28 verpleegdagen bij tuberculose;25953,43
Onderzoek(en) en/of behandeling(en) bij tuberculose;966,02
Dagbehandeling(en) en/of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij tuberculose;683,12
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij tuberculose;822,26
1 of 2 polikliniekbezoeken/ consultaties op afstand bij tuberculose;281,47
Ziekenhuisopname met maximaal 5 verpleegdagen bij een infectie;3226,6
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij een infectie;7786,62
Ziekenhuisopname met meer dan 28 verpleegdagen bij een infectie;26519,24
Meer dan 1 dagbehandeling bij een infectie;2962,23
Onderzoek(en) en/of behandeling(en) bij een infectie;986,59
1 dagbehandeling of meer dan 4 polikliniekbezoeken/ consultaties op afstand bij een infectie;700,02
3 tot 4 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij een infectieziekte;839,95
Kopi?ren DNA bij een infectie;549
1 of 2 polikliniekbezoeken/ consultaties op afstand bij een infectie;287,62
Zeer uitgebreide operatie bij borstkanker;10055,63
Verwijderen van tumor(en) of uitsnijden van een wond bij Borstkanker;931,65
Ziekenhuisopname met maximaal 5 verpleegdagen bij borstkanker;3243,1
Operatie bij Borstkanker;4171,02
Hersteloperatie van de borst(en) bij borstkanker;8514,97
Onderzoek(en) en/of behandeling(en) bij borstkanker;653,35
Ziekenhuisopname met meer dan 28 verpleegdagen bij borstkanker;27364,78
Ziekenhuisopname van 6 tot maximaal 28 verpleegdagen bij borstkanker;8147,94
Toedienen via een infuus of injectie van medicijnen die het afweersysteem versterken bij borstkanker;924,75
Toedienen via een infuus of injectie van medicijnen die het afweersysteem versterken tijdens een ziekenhuisopname bij borstkanker;4368,89
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken bij borstkanker;959,54
Begeleiding bij de behandeling met chemotherapie en/of medicijnen die de afweer versterken, tijdens een ziekenhuisopname bij borstkanker;10628,11
Toediening van chemotherapie en/of medicijnen die de afweer versterken bij borstkanker;961,29
Toediening van chemotherapie en/of medicijnen die de afweer versterken tijdens een ziekenhuisopname bij borstkanker;5663,77
Dagbehandeling(en) en/of meer dan 2 polikliniekbezoeken/ consultaties op afstand en/of meer dan 2 onderzoeken bij borstkanker;641,39
1 of 2 polikliniekbezoeken/ consultaties op afstand bij borstkanker;181,63
Begeleiding bij de behandeling met chemotherapie bij uitzaaiingen bij borstkanker;963,65
Begeleiding bij de behandeling met chemotherapie, tijdens een ziekenhuisopname bij borstkanker;7579,37
Toediening van chemotherapie bij uitzaaiingen bij borstkanker;888,05
Toediening van chemotherapie tijdens een ziekenhuisopname bij uitzaaiingen bij borstkanker;5149,16
Operatief verwijderen van de lymfeklieren bij Borstkanker;4741,65
Operatief verwijderen van de lymfeklieren tijdens een ziekenhuisopname bij borstkanker;6404,8
Operatief verwijderen van tumor(en) bij Borstkanker;5480,1
Operatief verwijderen van tumor(en) tijdens een ziekenhuisopname bij borstkanker;8997,72
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren bij borstkanker;533,41
Begeleiding bij de behandeling met chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij borstkanker;5563,19
Toediening van chemotherapie bij niet uitgezaaide tumoren bij borstkanker;740,1
Toediening van chemotherapie bij niet uitgezaaide tumoren, tijdens een ziekenhuisopname bij borstkanker;3848,26
Ondersteunende en verlichtende zorg met onderzoek(en) en/of behandeling(en) bij borstkanker;959,58
Ondersteunende en verlichtende zorg met maximaal 5 dagbehandelingen en/of verpleegdagen bij borstkanker;4121,8
Ondersteunende en verlichtende zorg met 1 tot 2 dagbehandelingen of meer dan 2 polikliniekbezoeken/ consultaties op afstand of meer dan 2 onderzoeken bij borstkanker;1061,88
